release,feature_area,impact_status,count
21.0.6,classlib,excluded,7
21.0.6,classlib,needs_review,47
21.0.6,compiler_tools,needs_review,4
21.0.6,gc,excluded,10
21.0.6,interop,excluded,5
21.0.6,interop,needs_review,10
21.0.6,runtime_core,excluded,10
21.0.6,runtime_core,needs_review,91
21.0.6,security,needs_review,34
21.0.6,test_infra,excluded,5
21.0.6,test_infra,needs_review,11
21.0.7,classlib,excluded,20
21.0.7,classlib,needs_review,77
21.0.7,compiler_tools,excluded,2
21.0.7,compiler_tools,needs_review,19
21.0.7,gc,excluded,5
21.0.7,interop,excluded,4
21.0.7,interop,needs_review,13
21.0.7,runtime_core,excluded,10
21.0.7,runtime_core,needs_review,58
21.0.7,security,needs_review,17
21.0.7,test_infra,excluded,3
21.0.7,test_infra,needs_review,8
21.0.8,classlib,excluded,81
21.0.8,classlib,needs_review,66
21.0.8,compiler_tools,needs_review,12
21.0.8,gc,excluded,15
21.0.8,interop,excluded,5
21.0.8,interop,needs_review,27
21.0.8,other,needs_review,3
21.0.8,runtime_core,excluded,11
21.0.8,runtime_core,needs_review,111
21.0.8,security,needs_review,28
21.0.8,test_infra,excluded,1
21.0.8,test_infra,needs_review,3
21.0.x,classlib,excluded,3
21.0.x,classlib,needs_review,3
21.0.x,compiler_tools,needs_review,4
21.0.x,gc,excluded,1
21.0.x,interop,excluded,1
21.0.x,runtime_core,excluded,6
21.0.x,runtime_core,needs_review,2
21.0.x,test_infra,needs_review,1
unknown,runtime_core,needs_review,2
unknown,security,needs_review,2
